CubeToaster
Type Ctrl-C or Ctrl-Z (whichever one works) to quit the program.

Same number of people for all events other than 4BLD, 5BLD, multi BLD, and FMC? (y/n) How many competitors do you want in each heat? There will be 9 heats in 4x4 Cube
There will be 1 heats in 5x5 Cube: Blindfolded
There will be 2 heats in Rubik's Cube: Multiple Blindfolded
There will be 3 heats in 6x6 Cube
There will be 4 heats in Square-1
There will be 18 heats in Rubik's Cube
There will be 3 heats in Rubik's Cube: Fewest moves
There will be 4 heats in 5x5 Cube
There will be 3 heats in 7x7 Cube
There will be 13 heats in Pyraminx
There will be 2 heats in Rubik's Cube: With feet
There will be 4 heats in Rubik's Cube: Blindfolded
There will be 1 heats in 4x4 Cube: Blindfolded
There will be 3 heats in Megaminx
There will be 3 heats in Rubik's Clock
There will be 10 heats in Skewb
There will be 8 heats in Rubik's Cube: One-Handed
There will be 16 heats in 2x2 Cube
heatsDict[event] 9
{'wcaId': '1985FAKE83', 'heat': 1, 'gender': 'm', 'id': '49', 'name': 'Abelson Antonio', 'countryId': 'CH'}
{'wcaId': '2011FAKE22', 'heat': 2, 'gender': 'm', 'id': '13', 'name': 'Abelson Carmela', 'countryId': 'US'}
{'wcaId': '1992FAKE51', 'heat': 3, 'gender': 'm', 'id': '67', 'name': 'Antonio Saragosa', 'countryId': 'US'}
{'wcaId': '2013FAKE61', 'heat': 4, 'gender': 'f', 'id': '1', 'name': 'Antonio Tona', 'countryId': 'CN'}
{'wcaId': '1994FAKE46', 'heat': 5, 'gender': 'm', 'id': '147', 'name': 'Arnulfo Gaeta', 'countryId': 'HU'}
{'wcaId': '1984FAKE17', 'heat': 6, 'gender': 'm', 'id': '188', 'name': 'Arturo Lakesha', 'countryId': 'US'}
{'wcaId': '1985FAKE17', 'heat': 7, 'gender': 'm', 'id': '107', 'name': 'Arturo Yi', 'countryId': 'US'}
{'wcaId': '2003FAKE87', 'heat': 8, 'gender': 'm', 'id': '176', 'name': 'Athens Ogata', 'countryId': 'US'}
{'wcaId': '1988FAKE8', 'heat': 9, 'gender': 'm', 'id': '117', 'name': 'Brittney Domonique', 'countryId': 'US'}
{'wcaId': '2003FAKE26', 'heat': 1, 'gender': 'm', 'id': '227', 'name': 'Brittney Pelaez', 'countryId': 'US'}
{'wcaId': '1985FAKE99', 'heat': 2, 'gender': 'm', 'id': '181', 'name': 'Brittney Stander', 'countryId': 'US'}
{'wcaId': '1996FAKE90', 'heat': 3, 'gender': 'm', 'id': '30', 'name': 'Brittney Vesta', 'countryId': 'US'}
{'wcaId': '2009FAKE2', 'heat': 4, 'gender': 'm', 'id': '250', 'name': 'Byrom Miera', 'countryId': 'CA'}
{'wcaId': '2001FAKE32', 'heat': 5, 'gender': 'm', 'id': '83', 'name': 'Byrom Ogata', 'countryId': 'US'}
{'wcaId': '1986FAKE70', 'heat': 6, 'gender': 'm', 'id': '125', 'name': 'Carmela Arturo', 'countryId': 'US'}
{'wcaId': '1985FAKE13', 'heat': 7, 'gender': 'm', 'id': '89', 'name': 'Clow Stander', 'countryId': 'US'}
{'wcaId': '1988FAKE33', 'heat': 8, 'gender': 'm', 'id': '73', 'name': 'Coreen Domonique', 'countryId': 'US'}
{'wcaId': '2000FAKE19', 'heat': 9, 'gender': 'm', 'id': '48', 'name': 'Coreen Lesli', 'countryId': 'US'}
{'wcaId': '2009FAKE21', 'heat': 1, 'gender': 'm', 'id': '84', 'name': 'Coreen Saragosa', 'countryId': 'US'}
{'wcaId': '1984FAKE37', 'heat': 2, 'gender': 'm', 'id': '210', 'name': 'Domonique Valadez', 'countryId': 'US'}
{'wcaId': '2015FAKE49', 'heat': 3, 'gender': 'm', 'id': '80', 'name': 'Farish Coreen', 'countryId': 'US'}
{'wcaId': '1983FAKE11', 'heat': 4, 'gender': 'm', 'id': '8', 'name': 'Farish Hildegard', 'countryId': 'US'}
{'wcaId': '1988FAKE10', 'heat': 5, 'gender': 'm', 'id': '127', 'name': 'Farish Ogata', 'countryId': 'CA'}
{'wcaId': '2010FAKE12', 'heat': 6, 'gender': 'm', 'id': '119', 'name': 'Gaeta Arnulfo', 'countryId': 'US'}
{'wcaId': '1987FAKE32', 'heat': 7, 'gender': 'm', 'id': '148', 'name': 'Gaeta Hildegard', 'countryId': 'US'}
{'wcaId': '1982FAKE61', 'heat': 8, 'gender': 'm', 'id': '178', 'name': 'Gaeta Igoe', 'countryId': 'US'}
{'wcaId': '2012FAKE50', 'heat': 9, 'gender': 'm', 'id': '168', 'name': 'Hildegard Arnulfo', 'countryId': 'US'}
{'wcaId': '1996FAKE31', 'heat': 1, 'gender': 'm', 'id': '46', 'name': 'Hildegard Clow', 'countryId': 'US'}
{'wcaId': '2006FAKE37', 'heat': 2, 'gender': 'm', 'id': '88', 'name': 'Hildegard Stander', 'countryId': 'US'}
{'wcaId': '2005FAKE43', 'heat': 3, 'gender': 'm', 'id': '215', 'name': 'Hildegard Valadez', 'countryId': 'US'}
{'wcaId': '2009FAKE60', 'heat': 4, 'gender': 'm', 'id': '153', 'name': 'Igoe Antonio', 'countryId': 'US'}
{'wcaId': '1996FAKE57', 'heat': 5, 'gender': 'm', 'id': '134', 'name': 'Igoe Brittney', 'countryId': 'US'}
